City,Month,Domestic Price,Domestic Change,Commercial Price,Commercial Change,Distance_to_Port_km,Nearest_Port
Kolkata,March 2026,₹ 939.0,▲ ₹60,₹ 1988.5,▲ ₹144,68.26,"Haldia Port, West Bengal"
Kolkata,Febraury 2026,₹ 879.0,—,₹ 1844.5,▲ ₹49.5,68.26,"Haldia Port, West Bengal"
Leh,April 2026,₹ 1045.5,—,₹ 2411.5,▲ ₹195,,
Leh,March 2026,₹ 1045.5,▲ ₹60,₹ 2216.5,▲ ₹144,1429.46,"Kandla Port, Gujarat"
Leh,Febraury 2026,₹ 985.5,—,₹ 2072.5,▲ ₹49.5,1429.46,"Kandla Port, Gujarat"
Lucknow,April 2026,₹ 950.5,—,₹ 2201.0,▲ ₹194,897.44,"Haldia Port, West Bengal"
Lucknow,March 2026,₹ 950.5,▲ ₹60,₹ 2007.0,▲ ₹144,897.44,"Haldia Port, West Bengal"
Lucknow,Febraury 2026,₹ 890.5,—,₹ 1863.0,▲ ₹49.5,897.44,"Haldia Port, West Bengal"
Mumbai,April 2026,₹ 912.5,—,₹ 2031.0,▲ ₹195,249.5,"Pipavav Port, Gujarat"
Mumbai,March 2026,₹ 912.5,▲ ₹60,₹ 1836.0,▲ ₹144,249.5,"Pipavav Port, Gujarat"
Mumbai,Febraury 2026,₹ 852.5,—,₹ 1692.0,▲ ₹49.5,249.5,"Pipavav Port, Gujarat"
New Delhi,April 2026,₹ 913.0,—,₹ 2078.5,▲ ₹194,935.72,"Kandla Port, Gujarat"
New Delhi,March 2026,₹ 913.0,▲ ₹60,₹ 1884.5,▲ ₹144,935.72,"Kandla Port, Gujarat"
New Delhi,Febraury 2026,₹ 853.0,—,₹ 1740.5,▲ ₹49.5,935.72,"Kandla Port, Gujarat"
Patna,April 2026,₹ 1002.5,—,₹ 2353.5,▲ ₹220,496.9,"Haldia Port, West Bengal"
Patna,March 2026,₹ 1002.5,▲ ₹60,₹ 2133.5,▲ ₹144,496.9,"Haldia Port, West Bengal"
Patna,Febraury 2026,₹ 942.5,—,₹ 1989.5,▲ ₹49.5,496.9,"Haldia Port, West Bengal"
Pondicherry,April 2026,₹ 925.0,—,₹ 2245.5,▲ ₹203,264.44,"Ennore Port, Tamil Nadu"
Pondicherry,March 2026,₹ 925.0,▲ ₹60,₹ 2042.5,▲ ₹144,264.44,"Ennore Port, Tamil Nadu"
Pondicherry,Febraury 2026,₹ 865.0,—,₹ 1898.5,▲ ₹49.5,264.44,"Ennore Port, Tamil Nadu"
